dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,512,1,10000,0.001,40,-1,0.0025,20,2024-03-29_12-56-05,successful,0.0848395747422761,0.0278191580449414,0.0500413907284768,0.1057484430859659,
1m,512,1,10000,0.0001,40,-1,0.0025,20,2024-03-29_12-59-14,successful,0.0809461259969551,0.026383028928244,0.0473758278145695,0.1023006102307618,
1m,512,1,10000,0.001,40,-1,0.01,20,2024-03-29_13-02-23,successful,0.0807380667000359,0.0263117492170981,0.0476490066225165,0.1001075093172516,
1m,512,1,10000,0.0001,40,-1,0.01,20,2024-03-29_13-05-32,successful,0.0685515054211013,0.0214377583128307,0.0405298013245033,0.0861389087836229,
1m,512,1,50000,0.001,40,-1,0.0025,20,2024-03-29_13-08-42,successful,0.0846798443493737,0.0276947818784787,0.050273178807947,0.1039151732012754,
1m,512,1,50000,0.0001,40,-1,0.0025,20,2024-03-29_13-11-50,successful,0.08382290043949,0.0274269947896355,0.049478476821192,0.1053106159886007,
1m,512,1,50000,0.001,40,-1,0.01,20,2024-03-29_13-15-09,successful,0.0840155706621936,0.0272304207220019,0.0498096026490066,0.1052630815828935,
1m,512,1,50000,0.0001,40,-1,0.01,20,2024-03-29_13-18-25,successful,0.0780805396890613,0.024748359956763,0.0459602649006622,0.1012253437138233,
1m,512,2,4096,0.001,40,-1,0.0025,20,2024-03-29_13-21-37,successful,0.0853687246359709,0.0279605383893716,0.0509354304635761,0.104032224267498,
1m,512,2,4096,0.0001,40,-1,0.0025,20,2024-03-29_13-26-08,successful,0.0818338846883437,0.0265076444211144,0.048046357615894,0.1031086128571407,
1m,512,2,4096,0.001,40,-1,0.01,20,2024-03-29_13-30-39,successful,0.0825828683020157,0.0269039974516046,0.048841059602649,0.1000031052120172,
1m,512,2,4096,0.0001,40,-1,0.01,20,2024-03-29_13-35-09,successful,0.0726356038393945,0.0234664310168025,0.0424006622516556,0.0904818822737211,
1m,512,2,10000,0.001,40,-1,0.0025,20,2024-03-29_13-39-40,successful,0.0853354710493836,0.0278794897347251,0.0509023178807947,0.1034857792293445,
1m,512,2,10000,0.0001,40,-1,0.0025,20,2024-03-29_13-43-03,successful,0.0831607579471478,0.0273363625388504,0.0487665562913907,0.1037507790166503,
1m,512,2,10000,0.001,40,-1,0.01,20,2024-03-29_13-46-26,successful,0.0843761291089464,0.0280465333164615,0.0498178807947019,0.1021276904068677,
1m,512,2,10000,0.0001,40,-1,0.01,20,2024-03-29_13-49-48,successful,0.0761108338814949,0.0244237927204356,0.0442466887417218,0.0972386386763599,
1m,512,2,50000,0.001,40,-1,0.0025,20,2024-03-29_13-53-09,successful,0.083928510332999,0.0267862454246135,0.0514238410596026,0.0998500905901363,
1m,512,2,50000,0.0001,40,-1,0.0025,20,2024-03-29_13-56-10,successful,0.0827709186728864,0.0268076225778678,0.0500082781456953,0.0996309362366989,
1m,512,2,50000,0.001,40,-1,0.01,20,2024-03-29_13-59-11,successful,0.0850682981407829,0.0275679241597655,0.0506705298013245,0.1047995104363424,
1m,512,2,50000,0.0001,40,-1,0.01,20,2024-03-29_14-02-13,successful,0.0819259078151832,0.0265556810405185,0.048137417218543,0.1048979243091351,
1m,512,3,4096,0.001,40,-1,0.0025,20,2024-03-29_14-05-15,successful,0.0853769962041715,0.0275359838425888,0.0519122516556291,0.1028430237641484,
1m,512,3,4096,0.0001,40,-1,0.0025,20,2024-03-29_14-10-45,successful,0.0837535710015571,0.0276596632175005,0.0491059602649006,0.1040533697234248,
1m,512,3,4096,0.001,40,-1,0.01,20,2024-03-29_14-16-16,successful,0.0843674147636692,0.0273909664896688,0.05091059602649,0.1003092543578506,
1m,512,3,4096,0.0001,40,-1,0.01,20,2024-03-29_14-21-47,successful,0.0783971997696348,0.0254070881686954,0.0457119205298013,0.0973946888620783,
1m,512,3,10000,0.001,40,-1,0.0025,20,2024-03-29_14-27-16,successful,0.0845419746135806,0.0270700573449246,0.0516804635761589,0.1007995962356347,
1m,512,3,10000,0.0001,40,-1,0.0025,20,2024-03-29_14-30-54,successful,0.0826714535167268,0.0270732383810443,0.0491639072847682,0.1008988066126471,
1m,512,3,10000,0.001,40,-1,0.01,20,2024-03-29_14-34-31,successful,0.0852658357310272,0.0276248740495585,0.0515066225165562,0.1029728260811317,
1m,512,3,10000,0.0001,40,-1,0.01,20,2024-03-29_14-38-10,successful,0.0805059138866194,0.0263876091272941,0.0469867549668874,0.1005302149311905,
1m,512,3,50000,0.001,40,-1,0.0025,20,2024-03-29_14-41-46,successful,0.0803195346096362,0.0249111004098739,0.0507201986754966,0.0916386944841834,
1m,512,3,50000,0.0001,40,-1,0.0025,20,2024-03-29_14-44-55,successful,0.0813737224086743,0.0257791167278182,0.050455298013245,0.0947802020992698,
1m,512,3,50000,0.001,40,-1,0.01,20,2024-03-29_14-48-04,successful,0.0855967211702884,0.027694150784512,0.0517218543046357,0.1027248312124908,
1m,512,3,50000,0.0001,40,-1,0.01,20,2024-03-29_14-51-14,successful,0.0831350450717321,0.0269563747792398,0.0490811258278145,0.1047086846922313,
1m,512,4,4096,0.001,40,-1,0.0025,20,2024-03-29_14-54-23,successful,0.0842708188016259,0.0269036564413751,0.0518956953642384,0.0984968473343252,
1m,512,4,4096,0.0001,40,-1,0.0025,20,2024-03-29_15-00-50,successful,0.0836535568189289,0.0273837728306813,0.0498675496688741,0.1029474974720961,
1m,512,4,4096,0.001,40,-1,0.01,20,2024-03-29_15-07-16,successful,0.084248530462232,0.0269137970862922,0.051432119205298,0.0994819818567869,
1m,512,4,4096,0.0001,40,-1,0.01,20,2024-03-29_15-13-42,successful,0.0806805820770899,0.0262097213849694,0.0473509933774834,0.0998309578275223,
1m,512,4,10000,0.001,40,-1,0.0025,20,2024-03-29_15-20-08,successful,0.0835196937500079,0.0262038774982454,0.0520778145695364,0.0974422142256574,
1m,512,4,10000,0.0001,40,-1,0.0025,20,2024-03-29_15-24-05,successful,0.0825875810529013,0.0266487487597021,0.0497102649006622,0.1002336690104356,
1m,512,4,10000,0.001,40,-1,0.01,20,2024-03-29_15-28-06,successful,0.0852472463994829,0.0276017230951801,0.0520860927152317,0.1002474688694298,
1m,512,4,10000,0.0001,40,-1,0.01,20,2024-03-29_15-32-07,successful,0.0828603986413646,0.027304929442472,0.0489403973509933,0.1027170429671064,
1m,512,4,50000,0.001,40,-1,0.0025,20,2024-03-29_15-36-07,successful,0.0774232049996833,0.0233264254564217,0.0502235099337748,0.0872534849019549,
1m,512,4,50000,0.0001,40,-1,0.0025,20,2024-03-29_15-39-22,successful,0.0782374976845799,0.0241776288610726,0.0494370860927152,0.0893031495651249,
1m,512,4,50000,0.001,40,-1,0.01,20,2024-03-29_15-42-39,successful,0.0850186792093297,0.0272839006186823,0.0523841059602649,0.0992577649129048,
1m,512,4,50000,0.0001,40,-1,0.01,20,2024-03-29_15-45-53,successful,0.0834990812411629,0.0272498610262407,0.0493625827814569,0.102722578094287,
1m,1024,1,4096,0.001,40,-1,0.0025,20,2024-03-29_15-49-10,successful,0.0825457943216038,0.027101414921224,0.0486258278145695,0.1014043613765479,
1m,1024,1,4096,0.0001,40,-1,0.0025,20,2024-03-29_15-53-49,successful,0.0752317542990864,0.0238405039453065,0.0439155629139072,0.0955183282534785,
1m,1024,1,4096,0.001,40,-1,0.01,20,2024-03-29_15-58-28,successful,0.0741897947205107,0.0232148219718148,0.0444867549668874,0.0907636093879006,
1m,1024,1,4096,0.0001,40,-1,0.01,20,2024-03-29_16-03-07,successful,0.0548462694065927,0.0157205227412614,0.0343129139072847,0.0648196247934372,
1m,1024,1,10000,0.001,40,-1,0.0025,20,2024-03-29_16-07-46,successful,0.0839345871357485,0.0274860020690851,0.04966059602649,0.1037177680558152,
1m,1024,1,10000,0.0001,40,-1,0.0025,20,2024-03-29_16-11-10,successful,0.0799487287401833,0.0259983651695337,0.0461754966887417,0.1012790630816398,
1m,1024,1,10000,0.001,40,-1,0.01,20,2024-03-29_16-14-35,successful,0.0789694687138235,0.0254798484227514,0.0468294701986755,0.09693798218483,
1m,1024,1,10000,0.0001,40,-1,0.01,20,2024-03-29_16-17-59,successful,0.0644061716914601,0.0201668809679371,0.0377483443708609,0.0792862460355184,
1m,1024,1,50000,0.001,40,-1,0.0025,20,2024-03-29_16-21-22,successful,0.0852635369281596,0.0278029324037391,0.0504718543046357,0.1054238367400697,
1m,1024,1,50000,0.0001,40,-1,0.0025,20,2024-03-29_16-24-42,successful,0.0835314407189912,0.0271106938043572,0.0491804635761589,0.1053018548116234,
1m,1024,1,50000,0.001,40,-1,0.01,20,2024-03-29_16-28-01,successful,0.0832438178071907,0.0269737588759212,0.0494122516556291,0.1031074477335282,
1m,1024,1,50000,0.0001,40,-1,0.01,20,2024-03-29_16-31-20,successful,0.0774510838440973,0.0246726648927485,0.0453890728476821,0.0997448678135893,
1m,1024,2,4096,0.001,40,-1,0.0025,20,2024-03-29_16-34-40,successful,0.0847845676668121,0.0277900897948953,0.0504221854304635,0.1029246611059976,
1m,1024,2,4096,0.0001,40,-1,0.0025,20,2024-03-29_16-41-25,successful,0.0796420996836744,0.0256427956109088,0.0468377483443708,0.100238283681284,
1m,1024,2,4096,0.001,40,-1,0.01,20,2024-03-29_16-48-10,successful,0.0825200791834781,0.0267362284405551,0.0490811258278145,0.09951069927301,
1m,1024,2,4096,0.0001,40,-1,0.01,20,2024-03-29_16-54-55,successful,0.0686722086169947,0.0216061019075628,0.0401655629139072,0.0870046609296615,
1m,1024,2,10000,0.001,40,-1,0.0025,20,2024-03-29_17-01-41,successful,0.0857759884847373,0.0280385319958033,0.0512748344370861,0.1050442936106666,
1m,1024,2,10000,0.0001,40,-1,0.0025,20,2024-03-29_17-05-51,successful,0.0826603772605574,0.026970068355003,0.0485761589403973,0.1041168641692506,
1m,1024,2,10000,0.001,40,-1,0.01,20,2024-03-29_17-10-02,successful,0.0840009855520076,0.0277282675259501,0.0499751655629139,0.1016337492712588,
1m,1024,2,10000,0.0001,40,-1,0.01,20,2024-03-29_17-14-13,successful,0.074728670954513,0.0240628054045065,0.0433609271523178,0.0937334130382438,
1m,1024,2,50000,0.001,40,-1,0.0025,20,2024-03-29_17-18-23,successful,0.0850313598975825,0.0276434115066328,0.0514155629139072,0.1015022026571152,
1m,1024,2,50000,0.0001,40,-1,0.0025,20,2024-03-29_17-21-42,successful,0.0833646525589645,0.0272317668110242,0.0496854304635761,0.101855952321769,
1m,1024,2,50000,0.001,40,-1,0.01,20,2024-03-29_17-25-02,successful,0.0850765482065661,0.0275651364536626,0.0507947019867549,0.1048744620279693,
1m,1024,2,50000,0.0001,40,-1,0.01,20,2024-03-29_17-28-21,successful,0.0816270283324053,0.026348696215147,0.0477566225165562,0.1049292239411779,
1m,1024,3,4096,0.001,40,-1,0.0025,20,2024-03-29_17-31-40,successful,0.0854688315935204,0.0278446991676028,0.0515811258278145,0.1023105380749981,
1m,1024,3,4096,0.0001,40,-1,0.0025,20,2024-03-29_17-40-31,successful,0.0829685605650321,0.0269785918613527,0.0489900662251655,0.1036873612679466,
1m,1024,3,4096,0.001,40,-1,0.01,20,2024-03-29_17-49-22,successful,0.0841575526589694,0.027197907607283,0.0507119205298013,0.099939505420243,
1m,1024,3,4096,0.0001,40,-1,0.01,20,2024-03-29_17-58-12,successful,0.0767373869073092,0.0245971981251343,0.0447019867549668,0.0963303572623357,
1m,1024,3,10000,0.001,40,-1,0.0025,20,2024-03-29_18-07-03,successful,0.0852806312194499,0.0277269967424886,0.0515397350993377,0.1016724273922262,
1m,1024,3,10000,0.0001,40,-1,0.0025,20,2024-03-29_18-12-06,successful,0.0837936159070114,0.0274886490060856,0.0494619205298013,0.1038913372137776,
1m,1024,3,10000,0.001,40,-1,0.01,20,2024-03-29_18-17-08,successful,0.0852928531047494,0.0277453316063887,0.0513658940397351,0.1025977480606846,
1m,1024,3,10000,0.0001,40,-1,0.01,20,2024-03-29_18-22-10,successful,0.0798124250621848,0.0262247280736325,0.046274834437086,0.0987104416751368,
1m,1024,3,50000,0.001,40,-1,0.0025,20,2024-03-29_18-27-14,successful,0.0834345568987008,0.0264249232148447,0.0517549668874172,0.0968450391999872,
1m,1024,3,50000,0.0001,40,-1,0.0025,20,2024-03-29_18-30-27,successful,0.0832542953073159,0.0268399901999528,0.0505711920529801,0.0997426926653857,
1m,1024,3,50000,0.001,40,-1,0.01,20,2024-03-29_18-33-41,successful,0.0859436813654579,0.0277605422959114,0.051705298013245,0.1042801205901322,
1m,1024,3,50000,0.0001,40,-1,0.01,20,2024-03-29_18-36-55,successful,0.0830336850548451,0.0269059534479263,0.0490066225165562,0.104572966788455,
1m,1024,4,4096,0.001,40,-1,0.0025,20,2024-03-29_18-40-09,successful,0.0848819729153405,0.0271981572981985,0.0521274834437086,0.1001368659897394,
1m,1024,4,4096,0.0001,40,-1,0.0025,20,2024-03-29_18-51-03,successful,0.0843313512940661,0.0277281615086877,0.0495943708609271,0.1046705916659056,
1m,1024,4,4096,0.001,40,-1,0.01,20,2024-03-29_19-01-56,successful,0.0843415107040438,0.0268516777674128,0.0517135761589404,0.0992350921156628,
1m,1024,4,4096,0.0001,40,-1,0.01,20,2024-03-29_19-12-51,successful,0.0802113562891943,0.0260477081015181,0.0469950331125827,0.099580772902366,
1m,1024,4,10000,0.001,40,-1,0.0025,20,2024-03-29_19-23-45,successful,0.0842887441028142,0.0267650882279186,0.0520115894039735,0.0992833597137564,
1m,1024,4,10000,0.0001,40,-1,0.0025,20,2024-03-29_19-29-39,successful,0.0834578026156194,0.0272784371677269,0.0498592715231788,0.1016917129009983,
1m,1024,4,10000,0.001,40,-1,0.01,20,2024-03-29_19-35-33,successful,0.0850636027874472,0.0274533902763305,0.052069536423841,0.1000562636110359,
1m,1024,4,10000,0.0001,40,-1,0.01,20,2024-03-29_19-41-28,successful,0.0823284978941769,0.0269420623667521,0.0483609271523178,0.1017985438568001,
1m,1024,4,50000,0.001,40,-1,0.0025,20,2024-03-29_19-47-22,successful,0.0802017719065355,0.0246747557121404,0.0510678807947019,0.0912491784143603,
1m,1024,4,50000,0.0001,40,-1,0.0025,20,2024-03-29_19-50-42,successful,0.0820187877799804,0.0260357418946744,0.0507615894039735,0.0960123710747108,
1m,1024,4,50000,0.001,40,-1,0.01,20,2024-03-29_19-54-01,successful,0.085490810680022,0.0276066289459188,0.0522350993377483,0.0999781772021277,
1m,1024,4,50000,0.0001,40,-1,0.01,20,2024-03-29_19-57-20,successful,0.0840754420663326,0.0272529264361085,0.0497847682119205,0.1044173571429554,
1m,1024,3,50000,0.01,50,1,0.005,5,2024-04-01_09-37-00,failed,,,,,0.0
1m,1024,3,50000,0.01,40,1,0.005,5,2024-04-01_09-46-29,failed,,,,,0.0
1m,1024,3,50000,0.01,40,1,0.005,20,2024-04-01_09-52-11,failed,,,,,0.0
1m,1024,3,50000,0.001,40,1,0.01,20,2024-04-01_09-53-06,failed,,,,,0.0
1m,1024,3,50000,0.001,50,1,0.01,20,2024-04-01_10-10-49,failed,,,,,0.0
1m,1024,3,50000,0.001,100,1,0.01,20,2024-04-01_10-19-05,failed,,,,,0.0
1m,1024,4,50000,0.001,100,1,0.01,20,2024-04-01_10-35-20,failed,,,,,0.0
1m,1024,3,50000,0.001,100,1,0.01,20,2024-04-01_10-50-46,failed,,,,,0.0
1m,64,3,50000,0.001,100,1,0.01,20,2024-04-01_14-23-54,failed,,,,,0.0
1m,64,3,50000,0.0001,100,1,0.01,20,2024-04-01_14-57-48,failed,,,,,0.0
1m,1024,1,4096,0.001,4,-1,0.0025,20,2024-04-02_10-29-57,successful,0.0806917951371497,0.0257446494591599,0.0492880794701986,0.0977308617517392,
1m,1024,1,4096,0.001,3,-1,0.0025,20,2024-04-02_10-37-54,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,1024,1,4096,0.001,3,-1,0.0025,20,2024-04-02_10-44-07,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,1024,1,4096,0.001,3,-1,0.0025,20,2024-04-02_10-48-01,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,1024,1,4096,0.001,3,-1,0.0025,20,2024-04-02_10-58-50,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,1024,1,4096,0.001,3,-1,0.0025,20,2024-04-02_11-01-22,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,1024,1,4096,0.001,3,-1,0.0025,20,2024-04-02_11-04-29,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,1024,1,4096,0.001,3,1,0.0025,20,2024-04-02_11-05-55,successful,0.0812574536262461,0.0259876190349871,0.0495033112582781,0.0952518185465624,
1m,128,1,10000,0.0,2,1,0.005,5,2024-04-03_11-22-24,failed,,,,,0.0
1m,128,1,10000,0.0,2,1,0.005,5,2024-04-03_11-26-29,failed,,,,,0.0
1m,128,1,10000,0.0,2,1,0.005,5,2024-04-03_11-31-35,failed,,,,,0.0
1m,1024,4,4096,0.001,50,-1,0.0025,20,2024-04-03_11-40-07,successful,0.0856615059405115,0.0277442400726298,0.0523178807947019,0.1006871228651731,
1m,1024,4,4096,0.001,5,-1,0.0025,20,2024-04-03_13-34-54,successful,0.0766568823674745,0.0231540744782652,0.0493460264900662,0.0858814524012659,
1m,1024,4,4096,0.001,5,-1,0.0025,20,2024-04-03_13-58-39,successful,0.0766568823674745,0.0231540744782652,0.0493460264900662,0.0858814524012659,
1m,1024,4,4096,0.001,5,-1,0.0025,20,2024-04-03_14-58-03,successful,0.0766568823674745,0.0231540744782652,0.0493460264900662,0.0858814524012659,
1m,1024,3,50000,0.001,50,-1,0.01,20,2024-04-03_15-33-53,successful,0.0861896360284954,0.0282097726214676,0.0514652317880794,0.1045395358651242,
1m,1024,3,50000,0.001,100,-1,0.01,20,2024-04-03_16-04-29,successful,0.0871446474385836,0.0285661716869831,0.0523261589403973,0.1051392621190545,
1m,128,1,10000,0.0,2,1,0.005,20,2024-04-03_16-20-35,successful,0.0723179441560099,0.0217537100541395,0.0474089403973509,0.0783795511761905,
1m,512,1,4096,0.001,40,-1,0.0025,20,2024-04-03_17-15-31,successful,0.083465458540169,0.0274204257016834,0.0492632450331125,0.1029215114216379,
1m,64,1,4096,0.01,50,-1,0.0025,20,2024-04-03_17-28-06,successful,0.0830255194451579,0.0261707630676379,0.0519122516556291,0.0954559126229369,
1m,64,1,4096,0.001,50,-1,0.0025,20,2024-04-03_17-32-56,successful,0.0839415484500185,0.0276133099555974,0.0500496688741721,0.1021627671785563,
1m,64,1,4096,0.0001,50,-1,0.0025,20,2024-04-03_17-37-46,successful,0.0811934942761227,0.0267358128478963,0.0479221854304635,0.0991214653077378,
1m,64,1,4096,0.01,50,-1,0.01,20,2024-04-03_17-42-37,successful,0.0834047187648311,0.0265939317332674,0.0518625827814569,0.0958905957980933,
1m,64,1,4096,0.001,50,-1,0.01,20,2024-04-03_17-47-29,successful,0.0804435658483387,0.0264102407291953,0.0475993377483443,0.0982200283216739,
1m,64,1,4096,0.0001,50,-1,0.01,20,2024-04-03_17-52-20,successful,0.0701689759854385,0.0218491407511793,0.0421523178807947,0.0860711930471216,
1m,64,1,4096,0.01,50,-1,0.1,20,2024-04-03_17-57-12,successful,0.0767391186160123,0.0235471122258279,0.0489238410596026,0.0860761485077324,
1m,64,1,4096,0.001,50,-1,0.1,20,2024-04-03_18-02-07,successful,0.0579808924637855,0.0163897062034713,0.0377814569536423,0.066606888016732,
1m,64,1,4096,0.0001,50,-1,0.1,20,2024-04-03_18-06-57,successful,0.0575930537554684,0.0164973958755914,0.0361341059602649,0.0703597706731362,
1m,64,1,10000,0.01,50,-1,0.0025,20,2024-04-03_18-11-49,successful,0.0824603759598763,0.0259705518692244,0.051614238410596,0.0947512815612125,
1m,64,1,10000,0.001,50,-1,0.0025,20,2024-04-03_18-15-49,successful,0.0831280558165101,0.0271395170686047,0.0499254966887417,0.1014653457153555,
1m,64,1,10000,0.0001,50,-1,0.0025,20,2024-04-03_18-19-51,successful,0.0813557721023958,0.0263569248329523,0.0487086092715231,0.1007254886503735,
1m,64,1,10000,0.01,50,-1,0.01,20,2024-04-03_18-23-51,successful,0.082728372735582,0.0261049119053485,0.0517632450331125,0.0959111842017804,
1m,64,1,10000,0.001,50,-1,0.01,20,2024-04-03_18-27-51,successful,0.0805465609723812,0.0260578500793768,0.0477483443708609,0.1004036765052871,
1m,64,1,10000,0.0001,50,-1,0.01,20,2024-04-03_18-31-52,successful,0.0721753196253297,0.0223505300908728,0.0436092715231788,0.0888170218218462,
1m,64,1,10000,0.01,50,-1,0.1,20,2024-04-03_18-35-52,successful,0.0795212858368597,0.0246705194112484,0.0499586092715231,0.0905091668656285,
1m,64,1,10000,0.001,50,-1,0.1,20,2024-04-03_18-39-53,successful,0.0640062256584517,0.0188134636726301,0.0398178807947019,0.0756298698028817,
1m,64,1,10000,0.0001,50,-1,0.1,20,2024-04-03_18-43-55,successful,0.0564251997289215,0.0163236859163896,0.0353973509933774,0.0683596470363565,
1m,64,1,50000,0.01,50,-1,0.0025,20,2024-04-03_18-47-55,successful,0.0788467419642461,0.0239756623953266,0.0506870860927152,0.0887729498435346,
1m,64,1,50000,0.001,50,-1,0.0025,20,2024-04-03_18-51-40,successful,0.0808628491394767,0.0252888769800397,0.050364238410596,0.0941799778404353,
1m,64,1,50000,0.0001,50,-1,0.0025,20,2024-04-03_18-55-27,successful,0.0808725633152691,0.0255221928510027,0.0499420529801324,0.0946138709449123,
1m,64,1,50000,0.01,50,-1,0.01,20,2024-04-03_18-59-13,successful,0.0835991708510867,0.0265090352563786,0.0521771523178808,0.0963846950529952,
1m,64,1,50000,0.001,50,-1,0.01,20,2024-04-03_19-02-58,successful,0.0848637277036444,0.0282787395693718,0.0497847682119205,0.1035738720260028,
1m,64,1,50000,0.0001,50,-1,0.01,20,2024-04-03_19-06-47,successful,0.0818967301391815,0.0271061781783578,0.0476903973509933,0.1008455648492807,
1m,64,1,50000,0.01,50,-1,0.1,20,2024-04-03_19-10-36,successful,0.0812864121511153,0.025565610082701,0.0508609271523178,0.093407845942433,
1m,64,1,50000,0.001,50,-1,0.1,20,2024-04-03_19-14-25,successful,0.073969486924776,0.0235878678547781,0.0439238410596026,0.090544123205491,
1m,64,1,50000,0.0001,50,-1,0.1,20,2024-04-03_19-18-15,successful,0.0629798994241876,0.0194751272565777,0.038319536423841,0.0743878122801207,
1m,64,2,4096,0.01,50,-1,0.0025,20,2024-04-03_19-22-03,successful,0.0784291362236588,0.0238310239068998,0.0511423841059602,0.0867089422198012,
1m,64,2,4096,0.001,50,-1,0.0025,20,2024-04-03_19-27-51,successful,0.0843995959811525,0.0273036934657679,0.0509850993377483,0.1018382864193472,
1m,64,2,4096,0.0001,50,-1,0.0025,20,2024-04-03_19-33-39,successful,0.0817297845298053,0.0267028858925285,0.0488824503311258,0.0990723453350672,
1m,64,2,4096,0.01,50,-1,0.01,20,2024-04-03_19-39-28,successful,0.078920529823485,0.0240168475388784,0.0512831125827814,0.087608799201287,
1m,64,2,4096,0.001,50,-1,0.01,20,2024-04-03_19-45-15,successful,0.0857943514759191,0.0283970351797747,0.0506043046357615,0.1044754268682939,
1m,64,2,4096,0.0001,50,-1,0.01,20,2024-04-03_19-51-04,successful,0.077222242990815,0.0246088268000529,0.0458692052980132,0.0949523562887343,
1m,64,2,4096,0.01,50,-1,0.1,20,2024-04-03_19-56-54,successful,0.0774154892356156,0.0233556700113953,0.0504304635761589,0.0861035039529786,
1m,64,2,4096,0.001,50,-1,0.1,20,2024-04-03_20-02-40,successful,0.0720521559225436,0.0223966348012262,0.0437665562913907,0.0847071591672816,
1m,64,2,4096,0.0001,50,-1,0.1,20,2024-04-03_20-08-29,successful,0.0587189562420913,0.0172317995161655,0.036978476821192,0.0693243939800033,
1m,64,2,10000,0.01,50,-1,0.0025,20,2024-04-03_20-14-20,successful,0.0775823034001796,0.023448825653292,0.0504635761589404,0.0861451963211522,
1m,64,2,10000,0.001,50,-1,0.0025,20,2024-04-03_20-18-43,successful,0.0836230184398911,0.0270139913529954,0.0508857615894039,0.0991216008359941,
1m,64,2,10000,0.0001,50,-1,0.0025,20,2024-04-03_20-23-10,successful,0.0815707621128017,0.0265460826149495,0.0491390728476821,0.0981250787783497,
1m,64,2,10000,0.01,50,-1,0.01,20,2024-04-03_20-27-34,successful,0.0785536390811126,0.0238105701282664,0.0509354304635761,0.0876701747308318,
